,판매시간,홈쇼핑채널,제품명,소비자가,판매가,url
95,,hnsmall,고려은단 비타민C 골드 플러스 240정 (1박스),,"48,510원",http://hsmoa.com/i?id=8281749&from=web_timeline
96,5시30분~6시00분,cjmall,[1촌1명품]두리담 생모시송편 10봉[총100개/4kg],"39,900원","36,900원",http://hsmoa.com/i?id=8285194&from=web_timeline
97,5시45분~6시45분,cjmallplus,[CJ쏘팔메토]전립소 스페셜 6개월분,"159,000원","158,000원",http://hsmoa.com/i?id=8286046&from=web_timeline
98,6시00분~6시40분,hnsmall,"폴리코사놀 총9개월 분 [특별 프로모션 일시불 15,000원]","234,100원","195,690원",http://hsmoa.com/i?id=8281750&from=web_timeline
99,,hnsmall,"폴리코사놀 총9개월 분 [특별 프로모션 일시불 15,000원]",,"195,690원",http://hsmoa.com/i?id=8283152&from=web_timeline
100,6시00분~6시50분,nsmall,부부가 함께 라이코펜 총 6박스/12개월분,,"79,500원",http://hsmoa.com/i?id=8283459&from=web_timeline
101,6시45분~7시50분,immall,동결건조 완도 건매생이 2g*60봉,"50,900원","49,900원",http://hsmoa.com/i?id=8284268&from=web_timeline
102,,immall,완도 건매생이 2g*30봉,,"39,900원",http://hsmoa.com/i?id=8284269&from=web_timeline
103,6시50분~7시50분,gsshop,슈퍼베리 아로니아 총 33통,,"159,000원",http://hsmoa.com/i?id=8285663&from=web_timeline
104,6시50분~7시45분,hmall,일명 김지선 다이어트 휴럼 황후의 보이차 다이어트 (800mg*56정*3박스 총 12주분),"168,000원","150,300원",http://hsmoa.com/i?id=8285655&from=web_timeline
105,,hmall,일명 김지선 다이어트 휴럼 황후의 보이차 다이어트 (800mg*56정*3박스 총 12주분 + 깔라만시클렌즈 1박스),,"177,300원",http://hsmoa.com/i?id=8285656&from=web_timeline
106,,hmall,일명 김지선 다이어트 휴럼 황후의 보이차 다이어트(800mg*56정 총 4주분),,"139,000원",http://hsmoa.com/i?id=8285730&from=web_timeline
107,6시50분~7시50분,nsmall,(일시불)연골업 보스웰리아 총 8박스/4개월분,,"160,050원",http://hsmoa.com/i?id=8283460&from=web_timeline
108,,nsmall,(무이자)연골업 보스웰리아 총 8박스/4개월분,,"170,050원",http://hsmoa.com/i?id=8283461&from=web_timeline
109,7시50분~8시50분,immall,청양고지베리 구기자분말(30g*24병),"158,000원","157,000원",http://hsmoa.com/i?id=8282052&from=web_timeline
110,,immall,청양 고지베리 구기자분말(30g*12병),,"98,000원",http://hsmoa.com/i?id=8282053&from=web_timeline
111,,immall,청양고지베리 구기자분말(30g*2병),,"35,000원",http://hsmoa.com/i?id=8282054&from=web_timeline
112,7시50분~8시50분,nsmall,(일시불)울트라플로라프로바이오틱스 블루 4병,,"150,000원",http://hsmoa.com/i?id=8283335&from=web_timeline
113,,nsmall,(무이자)울트라플로라프로바이오틱스 블루 4병,,"180,000원",http://hsmoa.com/i?id=8283336&from=web_timeline
114,,nsmall,(일시불)울트라플로라프로바이오틱스블루 6병,,"207,000원",http://hsmoa.com/i?id=8283337&from=web_timeline
115,,nsmall,(무이자)울트라플로라프로바이오틱스블루 6병,,"227,000원",http://hsmoa.com/i?id=8283338&from=web_timeline
116,8시20분~9시20분,hnsmall,피에스타 브라질너트 8팩 (800g),"89,000원","80,100원",http://hsmoa.com/i?id=8283153&from=web_timeline
117,,hnsmall,피에스타 브라질너트 16팩 (1.6kg),,"143,100원",http://hsmoa.com/i?id=8283154&from=web_timeline
118,,hnsmall,피에스타 브라질너트 8팩 (800g),,"80,100원",http://hsmoa.com/i?id=8284661&from=web_timeline
119,,hnsmall,피에스타 브라질너트 16팩 (1.6kg),,"143,100원",http://hsmoa.com/i?id=8284659&from=web_timeline
120,8시50분~10시00분,gsshop,[풋사과에 빠지다] 일명 신지다이어트 8주+4주 더 총 12주분,"158,000원","124,200원",http://hsmoa.com/i?id=8281643&from=web_timeline
121,11시15분~12시30분,immall,이정섭의 김치 10kg(배추 8kg+섞박지 2kg)-여름구성,"40,900원","39,900원",http://hsmoa.com/i?id=8282060&from=web_timeline
122,11시25분~12시25분,gsmyshop,휴럼 황후의 익모칡 28포 x 12박스 (48주분) + 전기주전자,"159,000원","158,000원",http://hsmoa.com/i?id=8282765&from=web_timeline
123,12시30분~13시40분,cjmall,시리얼메이드 80봉,,"85,900원",http://hsmoa.com/i?id=8282071&from=web_timeline
124,,cjmall,조권의 통곡물 시리얼메이드 160봉,,"171,800원",http://hsmoa.com/i?id=8282073&from=web_timeline
125,,cjmall,하루꽉찬통곡물시리얼10봉,,"8,620원",http://hsmoa.com/i?id=8282075&from=web_timeline
126,,cjmall,조권의 통곡물 시리얼메이드 30봉,,"31,240원",http://hsmoa.com/i?id=8282076&from=web_timeline
127,,cjmall,조권의 통곡물 시리얼메이드 20봉,,"20,800원",http://hsmoa.com/i?id=8282077&from=web_timeline
128,,cjmall,조권의 통곡물 시리얼메이드 80봉,,"85,900원",http://hsmoa.com/i?id=8282078&from=web_timeline
129,,cjmall,하루꽉찬 통곡물 시리얼160봉,,"139,030원",http://hsmoa.com/i?id=8282079&from=web_timeline
130,,cjmall,하루꽉찬통곡물시리얼40봉,,"34,460원",http://hsmoa.com/i?id=8282080&from=web_timeline
131,,cjmall,하루꽉찬통곡물시리얼50봉,,"43,420원",http://hsmoa.com/i?id=8282081&from=web_timeline
132,,cjmall,[100억마리 여에스더유산균]프로바이오틱스 6병[12개월분],,"204,300원",http://hsmoa.com/i?id=8282135&from=web_timeline
133,,cjmall,[100억마리 여에스더유산균]프로바이오틱스 4병[8개월분],,"150,000원",http://hsmoa.com/i?id=8282136&from=web_timeline
134,,cjmall,CJ장유산균 [cjlp-243] 캡슐형 6병_12개월분,,"78,000원",http://hsmoa.com/i?id=8282137&from=web_timeline
135,,cjmall,[비비고 20봉] 왕교자6+김치왕교자4+군만두1+왕만두2+빠오즈7,,"39,900원",http://hsmoa.com/i?id=8282138&from=web_timeline
136,,cjmall,왕교자8+김치왕교자2+왕만두1+고추깻잎1+ 군만두1 + 왕빠오즈7,,"39,900원",http://hsmoa.com/i?id=8282139&from=web_timeline
137,,cjmall,CJ제일제당 맛밤 32봉,,"36,810원",http://hsmoa.com/i?id=8282140&from=web_timeline
138,,cjmall,100% 내츄럴 브라질너트 120g 8봉,,"79,000원",http://hsmoa.com/i?id=8282203&from=web_timeline
139,,cjmall,조권의 통곡물 시리얼메이드40봉,,"41,680원",http://hsmoa.com/i?id=8282435&from=web_timeline
140,,cjmall,[정관장홍삼정] 홍삼정 마일드 9병,,"353,700원",http://hsmoa.com/i?id=8282780&from=web_timeline
141,,cjmall,정관장 홍삼 정마일드 1병,,"59,000원",http://hsmoa.com/i?id=8282781&from=web_timeline
142,12시30분~13시45분,immall,햇 사과 3kg*3박스 (홍로),"45,900원","44,900원",http://hsmoa.com/i?id=8282109&from=web_timeline
143,12시30분~13시45분,nsmall,바로느껴지는 보이차 27주,"149,800원","148,800원",http://hsmoa.com/i?id=8285750&from=web_timeline
144,,nsmall,바로느껴지는 보이차 12주,,"78,900원",http://hsmoa.com/i?id=8285751&from=web_timeline
